"","Variable","Description","URL","Levels","Category","UKB.dataset.ID","Field.ID","Notes","Description.1","Years.collected","UKB.Assessment","UKB.Category"
"254","falls_last_1yr","Falls in the last year","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2296",NA,"General health","f.2296.0.0",2296,"",NA,"2006-2010","ACE/Touchscreen","General health"
"255","weight_change_last_1yr","Weight change compared with 1 year ago","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2306",NA,"General health","f.2306.0.0",2306,"",NA,"2006-2010","ACE/Touchscreen","General health"
"256","chest_weeze_last_1yr","Wheeze or whistling in the chest in last year","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2316",NA,"Medical conditions","f.2316.0.0",2316,"",NA,"2006-2010","ACE/Touchscreen","Breathing"
"257","shortness_breath","Shortness of breath walking on level ground","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4717",NA,"Medical conditions","f.4717.0.0",4717,"",NA,"2006-2010","ACE/Touchscreen","Breathing"
"258","leg_pain_walking","Leg pain on walking","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4728",NA,"Medical conditions","f.4728.0.0",4728,"",NA,"2006-2010","ACE/Touchscreen","Claudication and PAD"
"268","neck_pain_1month","Pain type(s) experienced in last month","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159",NA,"Medical conditions","f.6159.0.0 - f.6159.0.6",6159,"",NA,"2006-2010","ACE/Touchscreen","Pain"
"269","whole_body_pain_1month","Pain type(s) experienced in last month","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159",NA,"Medical conditions","f.6159.0.0 - f.6159.0.7",6159,"",NA,"","",""
"270","headaches_1month","Pain type(s) experienced in last month","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159",NA,"Medical conditions","f.6159.0.0 - f.6159.0.8",6159,"",NA,"","",""
"271","knee_pain_1month","Pain type(s) experienced in last month","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159",NA,"Medical conditions","f.6159.0.0 - f.6159.0.9",6159,"",NA,"","",""
"272","stomach_pain_1month","Pain type(s) experienced in last month","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159",NA,"Medical conditions","f.6159.0.0 - f.6159.0.10",6159,"",NA,"","",""
"273","facial_pain_1month","Pain type(s) experienced in last month","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159",NA,"Medical conditions","f.6159.0.0 - f.6159.0.11",6159,"",NA,"","",""
"274","back_pain_1month","Pain type(s) experienced in last month","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159",NA,"Medical conditions","f.6159.0.0 - f.6159.0.12",6159,"",NA,"","",""
"275","hip_pain_1month","Pain type(s) experienced in last month","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159",NA,"Medical conditions","f.6159.0.0 - f.6159.0.13",6159,"",NA,"","",""
"279","back_pain_3months","Back pain for 3+ months","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3571",NA,"Medical conditions","f.3571.0.0",3571,"",NA,"2006-2010","ACE/Touchscreen","Pain"
"284","chest_pain","Chest pain or discomfort","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2335",NA,"Medical conditions","f.2335.0.0",2335,"",NA,"2006-2010","ACE/Touchscreen","Chest pain"
"288","major_operations","Had major operations","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2415",NA,"Medical conditions","f.2415.0.0",2415,"",NA,"2006-2010","ACE/Touchscreen","Operations"
"289","other_operations","Had other major operations","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2844",NA,"Medical conditions","f.2844.0.0",2844,"",NA,"2006-2010","ACE/Touchscreen","Operations"
"290","number_operations","Number of operations, self-reported","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=136",NA,"Medical conditions","f.136.0.0",136,"",NA,"2006-2010","ACE/Verbal interview","Operations"
"291","pace_maker","Pace-maker","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3079",NA,"Medical conditions","f.3079.0.0",3079,"",NA,"2006-2010","ACE/Verbal interview","Operations"
"292","hearing_difficulty","Hearing difficulty/problems","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2247",NA,"Medical conditions","f.2247.0.0",2247,"",NA,"2006-2010","ACE/Touchscreen","Hearing"
"293","hearing_difficulty_background","Hearing difficulty/problems with background noise","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2257",NA,"Medical conditions","f.2257.0.0",2257,"",NA,"2006-2010","ACE/Touchscreen","Hearing"
"294","hearing_aid","Hearing aid user","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3393",NA,"Medical conditions","f.3393.0.0",3393,"",NA,"2006-2010","ACE/Touchscreen","Hearing"
"295","cochlear_implant","Cochlear implant","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4792",NA,"Medical conditions","f.4792.0.0",4792,"",NA,"2006-2010","ACE/Touchscreen","Hearing"
"296","tinnitus","Tinnitus","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4803",NA,"Medical conditions","f.4803.0.0",4803,"",NA,"2006-2010","ACE/Touchscreen","Hearing"
"298","loud_music_exposure","Loud music exposure frequency","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4836",NA,"Medical conditions","f.4836.0.0",4836,"",NA,"2006-2010","ACE/Touchscreen","Hearing"
"299","bowel_cancer_screening","Ever had bowel cancer screening","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2345",NA,"Medical conditions","f.2345.0.0",2345,"",NA,"2006-2010","ACE/Touchscreen","Cancer screening"
"301","PSA_test","Ever had prostate specific antigen (PSA) test","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2365",NA,"Medical conditions","f.2365.0.0",2365,"",NA,"2006-2010","ACE/Touchscreen","Cancer screening"
"303","cholesterol_meds","Medication for cholesterol, blood pressure or diabetes","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177",NA,"Medications","f.6177.0.0 - f.6177.0.2",6177,"",NA,"2006-2010","ACE/Touchscreen","Medications"
"304","blood_pressure_meds","Medication for cholesterol, blood pressure or diabetes","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177",NA,"Medications","f.6177.0.0 - f.6177.0.2",6177,"",NA,"","",""
"305","insulin","Medication for cholesterol, blood pressure or diabetes","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177",NA,"Medications","f.6177.0.0 - f.6177.0.2",6177,"",NA,"","",""
"306","cholesterol_meds_v2","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153",NA,"Medications","f.6153.0.0 - f.6153.0.3",6153,"",NA,"2006-2010","ACE/Touchscreen","Medications"
"307","blood_pressure_meds_v2","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153",NA,"Medications","f.6153.0.0 - f.6153.0.3",6153,"",NA,"","",""
"308","insulin_v2","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153",NA,"Medications","f.6153.0.0 - f.6153.0.3",6153,"",NA,"","",""
"310","aspirin","Medication for pain relief, constipation, heartburn","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154",NA,"Medications","f.6154.0.0 - f.6154.0.5",6154,"",NA,"2006-2010","ACE/Touchscreen","Medications"
"311","paracetamol","Medication for pain relief, constipation, heartburn","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154",NA,"Medications","f.6154.0.0 - f.6154.0.5",6154,"",NA,"","",""
"312","ibuprofen","Medication for pain relief, constipation, heartburn","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154",NA,"Medications","f.6154.0.0 - f.6154.0.5",6154,"",NA,"","",""
"313","omeprazole","Medication for pain relief, constipation, heartburn","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154",NA,"Medications","f.6154.0.0 - f.6154.0.5",6154,"",NA,"","",""
"314","ranitidine","Medication for pain relief, constipation, heartburn","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154",NA,"Medications","f.6154.0.0 - f.6154.0.5",6154,"",NA,"","",""
"315","laxatives","Medication for pain relief, constipation, heartburn","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154",NA,"Medications","f.6154.0.0 - f.6154.0.5",6154,"",NA,"","",""
"316","number_medications","Number of treatments/medications taken","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=137",NA,"Medications","f.137.0.0",137,"",NA,"2006-2010","ACE/Verbal interview","Medications"
"317","multivitamin_supplements","Vitamin and mineral supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155",NA,"Supplements","f.6155.0.0 - f.6155.0.6",6155,"",NA,"2006-2010","ACE/Touchscreen","Medications"
"318","vitamin_A_supplements","Vitamin and mineral supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155",NA,"Supplements","f.6155.0.0 - f.6155.0.6",6155,"",NA,"","",""
"319","vitamin_B_supplements","Vitamin and mineral supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155",NA,"Supplements","f.6155.0.0 - f.6155.0.6",6155,"",NA,"","",""
"320","vitamin_C_supplements","Vitamin and mineral supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155",NA,"Supplements","f.6155.0.0 - f.6155.0.6",6155,"",NA,"","",""
"321","vitamin_D_supplements","Vitamin and mineral supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155",NA,"Supplements","f.6155.0.0 - f.6155.0.6",6155,"",NA,"","",""
"322","vitamin_E_supplements","Vitamin and mineral supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155",NA,"Supplements","f.6155.0.0 - f.6155.0.6",6155,"",NA,"","",""
"323","folate_supplements","Vitamin and mineral supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155",NA,"Supplements","f.6155.0.0 - f.6155.0.6",6155,"",NA,"","",""
"324","fish_oil_supplements","Mineral and other dietary supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179",NA,"Supplements","f.6179.0.0 - f.6179.0.5",6179,"",NA,"2006-2010","ACE/Touchscreen","Medications"
"325","calcium_supplements","Mineral and other dietary supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179",NA,"Supplements","f.6179.0.0 - f.6179.0.5",6179,"",NA,"","",""
"326","selenium_supplements","Mineral and other dietary supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179",NA,"Supplements","f.6179.0.0 - f.6179.0.5",6179,"",NA,"","",""
"327","glucosamine_supplements","Mineral and other dietary supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179",NA,"Supplements","f.6179.0.0 - f.6179.0.5",6179,"",NA,"","",""
"328","iron_supplements","Mineral and other dietary supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179",NA,"Supplements","f.6179.0.0 - f.6179.0.5",6179,"",NA,"","",""
"329","zinc_supplements","Mineral and other dietary supplements","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179",NA,"Supplements","f.6179.0.0 - f.6179.0.5",6179,"",NA,"","",""
"330","age_facial_hair","Relative age of first facial hair","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2375",NA,"Male reproductive factors","f.2375.0.0",2375,"",NA,"2006-2010","ACE/Touchscreen","Male-specific factors"
"331","age_voice","Relative age voice broke","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2385",NA,"Male reproductive factors","f.2385.0.0",2385,"",NA,"2006-2010","ACE/Touchscreen","Male-specific factors"
"332","balding","Hair/balding pattern","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2395",NA,"Male reproductive factors","f.2395.0.0",2395,"",NA,"2006-2010","ACE/Touchscreen","Male-specific factors"
"333","number_children","Number of children fathered","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2405",NA,"Male reproductive factors","f.2405.0.0",2405,"",NA,"2006-2010","ACE/Touchscreen","Male-specific factors"
"334","mammogram","Ever had breast cancer screening / mammogram","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2674",NA,"Female reproductive factors","f.2674.0.0",2674,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"336","cervical_smear","Ever had cervical smear test","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2694",NA,"Female reproductive factors","f.2694.0.0",2694,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"338","menarche_age","Age when periods started (menarche)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2714",NA,"Female reproductive factors","f.2714.0.0",2714,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"339","menopause","Had menopause","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2724",NA,"Female reproductive factors","f.2724.0.0",2724,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"340","menopause_age","Age at menopause (last menstrual period)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3581",NA,"Female reproductive factors","f.3581.0.0",3581,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"344","number_births","Number of live births","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2734",NA,"Female reproductive factors","f.2734.0.0",2734,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"346","birth_age","Age of primiparous women at birth of child","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3872",NA,"Female reproductive factors","f.3872.0.0",3872,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"347","first_birth_age","Age at first live birth","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2754",NA,"Female reproductive factors","f.2754.0.0",2754,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"348","last_birth_age","Age at last live birth","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2764",NA,"Female reproductive factors","f.2764.0.0",2764,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"349","stillbirth","Ever had stillbirth, spontaneous miscarriage or termination","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2774",NA,"Female reproductive factors","f.2774.0.0",2774,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"353","oral_contraceptive","Ever taken oral contraceptive pill","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2784",NA,"Female reproductive factors","f.2784.0.0",2784,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"356","HRT","Ever used hormone-replacement therapy (HRT)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2814",NA,"Female reproductive factors","f.2814.0.0",2814,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"359","hysterectomy","Ever had hysterectomy (womb removed)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3591",NA,"Female reproductive factors","f.3591.0.0",3591,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"361","bilateral_oophorectomy","Bilateral oophorectomy (both ovaries removed)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2834",NA,"Female reproductive factors","f.2834.0.0",2834,"",NA,"2006-2010","ACE/Touchscreen","Female-specific factors"
"363","pregnant","Pregnant","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3140",NA,"Female reproductive factors","f.3140.0.0",3140,"",NA,"2006-2010","ACE/Verbal interview","Medical conditions"
"364","bipolar_MDD","Bipolar and major depression status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20126",NA,"Mental health","f.20126.0.0",20126,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"367","neuroticism","Neuroticism score","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20127",NA,"Mental health","f.20127.0.0",20127,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"368","mood_swings","Mood swings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1920",NA,"Mental health","f.1920.0.0",1920,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"369","miserableness","Miserableness","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1930",NA,"Mental health","f.1930.0.0",1930,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"370","irritability","Irritability","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1940",NA,"Mental health","f.1940.0.0",1940,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"371","sensitivity","Sensitivity / hurt feelings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1950",NA,"Mental health","f.1950.0.0",1950,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"372","fed_up_feelings","Fed-up feelings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1960",NA,"Mental health","f.1960.0.0",1960,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"373","nervous","Nervous feelings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1970",NA,"Mental health","f.1970.0.0",1970,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"374","worrier","Worrier / anxious feelings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1980",NA,"Mental health","f.1980.0.0",1980,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"375","tense","Tense / 'highly strung'","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1990",NA,"Mental health","f.1990.0.0",1990,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"376","worry_embarassment","Worry too long after embarrassment","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2000",NA,"Mental health","f.2000.0.0",2000,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"377","nerves","Suffer from 'nerves'","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2010",NA,"Mental health","f.2010.0.0",2010,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"378","guilty_feelings","Guilty feelings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2030",NA,"Mental health","f.2030.0.0",2030,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"379","risk_taking","Risk taking","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2040",NA,"Mental health","f.2040.0.0",2040,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"380","happiness","Happiness","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4526",NA,"Life satisfaction","f.4526.0.0",4526,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"381","job_satisfaction","Work/job satisfaction","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4537",NA,"Life satisfaction","f.4537.0.0",4537,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"382","health_satisfaction","Health satisfaction","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4548",NA,"Life satisfaction","f.4548.0.0",4548,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"383","family_satisfaction","Family relationship satisfaction","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4559",NA,"Life satisfaction","f.4559.0.0",4559,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"384","friends_satisfaction","Friendships satisfaction","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4570",NA,"Life satisfaction","f.4570.0.0",4570,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"385","financial_satisfaction","Financial situation satisfaction","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4581",NA,"Life satisfaction","f.4581.0.0",4581,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"386","depressed_mood_freq","Frequency of depressed mood in last 2 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2050",NA,"Mental health","f.2050.0.0",2050,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"387","unenthusiasm_freq","Frequency of unenthusiasm / disinterest in last 2 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2060",NA,"Mental health","f.2060.0.0",2060,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"388","tenseness_freq","Frequency of tenseness / restlessness in last 2 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2070",NA,"Mental health","f.2070.0.0",2070,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"389","tiredness_freq","Frequency of tiredness / lethargy in last 2 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2080",NA,"Mental health","f.2080.0.0",2080,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"390","doctor_visit_mental_health","Seen doctor (GP) for nerves, anxiety, tension or depression","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2090",NA,"Mental health","f.2090.0.0",2090,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"391","psychiatrist_visit_mental_health","Seen a psychiatrist for nerves, anxiety, tension or depression","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2100",NA,"Mental health","f.2100.0.0",2100,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"392","depressed_whole_week","Ever depressed for a whole week","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4598",NA,"Mental health","f.4598.0.0",4598,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"395","unenthusiastic_whole_week","Ever unenthusiastic/disinterested for a whole week","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4631",NA,"Mental health","f.4631.0.0",4631,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"398","manic","Ever manic/hyper for 2 days","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4642",NA,"Mental health","f.4642.0.0",4642,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"399","irritable","Ever highly irritable/argumentative for 2 days","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4653",NA,"Mental health","f.4653.0.0",4653,"",NA,"2006-2010","ACE/Touchscreen","Mental health"
"407","mobile_phone_duration","Length of mobile phone use","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1110",NA,"Electronics use","f.1110.0.0",1110,"",NA,"2006-2010","ACE/Touchscreen","Electronic device use"
"408","mobile_phone_weekly_usage","Weekly usage of mobile phone in last 3 months","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1120",NA,"Electronics use","f.1120.0.0",1120,"",NA,"2006-2010","ACE/Touchscreen","Electronic device use"
"409","speakerphone","Hands-free device/speakerphone use with mobile phone in last 3 month","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1130",NA,"Electronics use","f.1130.0.0",1130,"",NA,"2006-2010","ACE/Touchscreen","Electronic device use"
"410","mobile_phone_2yrs","Difference in mobile phone use compared to two years previously","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1140",NA,"Electronics use","f.1140.0.0",1140,"",NA,"2006-2010","ACE/Touchscreen","Electronic device use"
"411","head_side_phone","Usual side of head for mobile phone use","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1150",NA,"Electronics use","f.1150.0.0",1150,"",NA,"2006-2010","ACE/Touchscreen","Electronic device use"
"412","computer_games","Plays computer games","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2237",NA,"Electronics use","f.2237.0.0",2237,"",NA,"2006-2010","ACE/Touchscreen","Electronic device use"
"413","sleep_hours","Sleep duration","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1160",NA,"Sleep","f.1160.0.0",1160,"",NA,"2006-2010","ACE/Touchscreen","Sleep"
"415","easy_wake","Getting up in morning","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1170",NA,"Sleep","f.1170.0.0",1170,"",NA,"2006-2010","ACE/Touchscreen","Sleep"
"416","chronotype","Morning/evening person (chronotype)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1180",NA,"Sleep","f.1180.0.0",1180,"",NA,"2006-2010","ACE/Touchscreen","Sleep"
"417","nap","Nap during day","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1190",NA,"Sleep","f.1190.0.0",1190,"",NA,"2006-2010","ACE/Touchscreen","Sleep"
"418","sleep_difficulty","Sleeplessness / insomnia","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1200",NA,"Sleep","f.1200.0.0",1200,"",NA,"2006-2010","ACE/Touchscreen","Sleep"
"419","snoring","Snoring","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1210",NA,"Sleep","f.1210.0.0",1210,"",NA,"2006-2010","ACE/Touchscreen","Sleep"
"420","narcolepsy","Daytime dozing / sleeping (narcolepsy)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1220",NA,"Sleep","f.1220.0.0",1220,"",NA,"2006-2010","ACE/Touchscreen","Sleep"
"421","ever_smoked","Ever smoked","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20160",NA,"Smoking","f.20160.0.0",20160,"",NA,"","",""
"422","pack_years_prop","Pack years adult smoking as proportion of life span exposed to smoking","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20162",NA,"Smoking","f.20162.0.0",20162,"",NA,"2006-2010","ACE/Touchscreen","Smoking"
"423","pack_years","Pack years of smoking","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20161",NA,"Smoking","f.20161.0.0",20161,"",NA,"2006-2010","ACE/Touchscreen","Smoking"
"424","smoking_status","Smoking status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20116",NA,"Smoking","f.20116.0.0",20116,"",NA,"2006-2010","ACE/Touchscreen","Smoking"
"425","tobacco","Current tobacco smoking","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1239",NA,"Smoking","f.1239.0.0",1239,"",NA,"2006-2010","ACE/Touchscreen","Smoking"
"457","alcohol_status","Alcohol drinker status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20117",NA,"Alcohol","f.20117.0.0",20117,"",NA,"2006-2010","ACE/Touchscreen","Alcohol"
"458","alcohol_freq","Alcohol intake frequency.","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1558",NA,"Alcohol","f.1558.0.0",1558,"",NA,"2006-2010","ACE/Touchscreen","Alcohol"
"476","cooked_veg","Cooked vegetable intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1289",NA,"Diet","f.1289.0.0",1289,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"477","salad_or_raw_veg","Salad / raw vegetable intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1299",NA,"Diet","f.1299.0.0",1299,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"478","fresh_fruit","Fresh fruit intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1309",NA,"Diet","f.1309.0.0",1309,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"479","dried_fruit","Dried fruit intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1319",NA,"Diet","f.1319.0.0",1319,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"480","oily_fish","Oily fish intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1329",NA,"Diet","f.1329.0.0",1329,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"481","non_oily_fish","Non-oily fish intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1339",NA,"Diet","f.1339.0.0",1339,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"482","processed_meat","Processed meat intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1349",NA,"Diet","f.1349.0.0",1349,"",NA,"2006-2010","ACE/Touchscreen","Diet"
